Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
1,1.14268e-66,0.151837,5000,1,16,1,0,0,0
2,1.14268e-66,0.151837,5000,1,16,1,0,0,0
3,1.14268e-66,0.151837,5000,1,16,1,0,0,0
4,1.14268e-66,0.151837,5000,1,16,1,0,0,0
5,1.14268e-66,0.151837,5000,1,16,1,0,0,0
6,1.14268e-66,0.151837,5000,1,16,1,0,0,0
7,1.14268e-66,0.151837,5000,1,16,1,0,0,0
8,1.14268e-66,0.151837,5000,1,16,1,0,0,0
9,1.14268e-66,0.151837,5000,1,16,1,0,0,0
10,1.14268e-66,0.151837,5000,1,16,1,0,0,0
11,1.14268e-66,0.151837,5000,1,16,1,0,0,0
12,1.14268e-66,0.151837,5000,1,16,1,0,0,0
13,1.14268e-66,0.151837,5000,1,16,1,0,0,0
14,1.14268e-66,0.151837,5000,1,16,1,0,0,0
15,1.14268e-66,0.151837,5000,1,16,1,0,0,0
16,1.14268e-66,0.151837,5000,1,16,1,0,0,0
17,1.14268e-66,0.151837,5000,1,16,1,0,0,0
18,1.14268e-66,0.151837,5000,1,16,1,0,0,0
19,1.14268e-66,0.151837,5000,1,16,1,0,0,0
20,1.14268e-66,0.151837,5000,1,16,1,0,0,0
21,1.14268e-66,0.151837,5000,1,16,1,0,0,0
22,1.14268e-66,0.151837,5000,1,16,1,0,0,0
23,1.14268e-66,0.151837,5000,1,16,1,0,0,0
24,1.14268e-66,0.151837,5000,1,16,1,0,0,0
25,1.14268e-66,0.151837,5000,1,16,1,0,0,0
26,1.14268e-66,0.151837,5000,1,16,1,0,0,0
27,1.14268e-66,0.151837,5000,1,16,1,0,0,0
28,1.14268e-66,0.151837,5000,1,16,1,0,0,0
29,1.14268e-66,0.151837,5000,1,16,1,0,0,0
30,1.14268e-66,0.151837,5000,1,16,1,0,0,0
31,1.14268e-66,0.151837,5000,1,16,1,0,0,0
32,1.14268e-66,0.151837,5000,1,16,1,0,0,0
33,1.14268e-66,0.151837,5000,1,16,1,0,0,0
34,1.14268e-66,0.151837,5000,1,16,1,0,0,0
35,1.14268e-66,0.151837,5000,1,16,1,0,0,0
36,1.14268e-66,0.151837,5000,1,16,1,0,0,0
37,1.14268e-66,0.151837,5000,1,16,1,0,0,0
38,1.14268e-66,0.151837,5000,1,16,1,0,0,0
39,1.14268e-66,0.151837,5000,1,16,1,0,0,0
40,1.14268e-66,0.151837,5000,1,16,1,0,0,0
41,1.14268e-66,0.151837,5000,1,16,1,0,0,0
42,1.14268e-66,0.151837,5000,1,16,1,0,0,0
43,1.14268e-66,0.151837,5000,1,16,1,0,0,0
44,1.14268e-66,0.151837,5000,1,16,1,0,0,0
45,1.14268e-66,0.151837,5000,1,16,1,0,0,0
46,1.14268e-66,0.151837,5000,1,16,1,0,0,0
47,1.14268e-66,0.151837,5000,1,16,1,0,0,0
48,1.14268e-66,0.151837,5000,1,16,1,0,0,0
49,1.14268e-66,0.151837,5000,1,16,1,0,0,0
50,1.14268e-66,0.151837,5000,1,16,1,0,0,0
51,1.14268e-66,0.151837,5000,1,16,1,0,0,0
52,1.14268e-66,0.151837,5000,1,16,1,0,0,0
53,1.14268e-66,0.151837,5000,1,16,1,0,0,0
54,1.14268e-66,0.151837,5000,1,16,1,0,0,0
55,1.14268e-66,0.151837,5000,1,16,1,0,0,0
56,1.14268e-66,0.151837,5000,1,16,1,0,0,0
57,1.14268e-66,0.151837,5000,1,16,1,0,0,0
58,1.14268e-66,0.151837,5000,1,16,1,0,0,0
59,1.14268e-66,0.151837,5000,1,16,1,0,0,0
60,1.14268e-66,0.151837,5000,1,16,1,0,0,0
61,1.14268e-66,0.151837,5000,1,16,1,0,0,0
62,1.14268e-66,0.151837,5000,1,16,1,0,0,0
63,1.14268e-66,0.151837,5000,1,16,1,0,0,0
64,1.14268e-66,0.151837,5000,1,16,1,0,0,0
65,1.14268e-66,0.151837,5000,1,16,1,0,0,0
66,1.14268e-66,0.151837,5000,1,16,1,0,0,0
67,1.14268e-66,0.151837,5000,1,16,1,0,0,0
68,1.14268e-66,0.151837,5000,1,16,1,0,0,0
69,1.14268e-66,0.151837,5000,1,16,1,0,0,0
70,1.14268e-66,0.151837,5000,1,16,1,0,0,0
71,1.14268e-66,0.151837,5000,1,16,1,0,0,0
72,1.14268e-66,0.151837,5000,1,16,1,0,0,0
73,1.14268e-66,0.151837,5000,1,16,1,0,0,0
74,1.14268e-66,0.151837,5000,1,16,1,0,0,0
75,1.14268e-66,0.151837,5000,1,16,1,0,0,0
76,1.14268e-66,0.151837,5000,1,16,1,0,0,0
77,1.14268e-66,0.151837,5000,1,16,1,0,0,0
78,1.14268e-66,0.151837,5000,1,16,1,0,0,0
79,1.14268e-66,0.151837,5000,1,16,1,0,0,0
80,1.14268e-66,0.151837,5000,1,16,1,0,0,0
81,1.14268e-66,0.151837,5000,1,16,1,0,0,0
82,1.14268e-66,0.151837,5000,1,16,1,0,0,0
83,1.14268e-66,0.151837,5000,1,16,1,0,0,0
84,1.14268e-66,0.151837,5000,1,16,1,0,0,0
85,1.14268e-66,0.151837,5000,1,16,1,0,0,0
86,1.14268e-66,0.151837,5000,1,16,1,0,0,0
87,1.14268e-66,0.151837,5000,1,16,1,0,0,0
88,1.14268e-66,0.151837,5000,1,16,1,0,0,0
89,1.14268e-66,0.151837,5000,1,16,1,0,0,0
90,1.14268e-66,0.151837,5000,1,16,1,0,0,0
91,1.14268e-66,0.151837,5000,1,16,1,0,0,0
92,1.14268e-66,0.151837,5000,1,16,1,0,0,0
93,1.14268e-66,0.151837,5000,1,16,1,0,0,0
94,1.14268e-66,0.151837,5000,1,16,1,0,0,0
95,1.14268e-66,0.151837,5000,1,16,1,0,0,0
96,1.14268e-66,0.151837,5000,1,16,1,0,0,0
97,1.14268e-66,0.151837,5000,1,16,1,0,0,0
98,1.14268e-66,0.151837,5000,1,16,1,0,0,0
99,1.14268e-66,0.151837,5000,1,16,1,0,0,0
100,1.14268e-66,0.151837,5000,1,16,1,0,0,0
101,1.14268e-66,0.151837,5000,1,16,1,0,0,0
102,1.14268e-66,0.151837,5000,1,16,1,0,0,0
103,1.14268e-66,0.151837,5000,1,16,1,0,0,0
104,1.14268e-66,0.151837,5000,1,16,1,0,0,0
105,1.14268e-66,0.151837,5000,1,16,1,0,0,0
106,1.14268e-66,0.151837,5000,1,16,1,0,0,0
107,1.14268e-66,0.151837,5000,1,16,1,0,0,0
108,1.14268e-66,0.151837,5000,1,16,1,0,0,0
109,1.14268e-66,0.151837,5000,1,16,1,0,0,0
110,1.14268e-66,0.151837,5000,1,16,1,0,0,0
111,1.14268e-66,0.151837,5000,1,16,1,0,0,0
112,1.14268e-66,0.151837,5000,1,16,1,0,0,0
113,1.14268e-66,0.151837,5000,1,16,1,0,0,0
114,1.14268e-66,0.151837,5000,1,16,1,0,0,0
115,1.14268e-66,0.151837,5000,1,16,1,0,0,0
116,1.14268e-66,0.151837,5000,1,16,1,0,0,0
117,1.14268e-66,0.151837,5000,1,16,1,0,0,0
118,1.14268e-66,0.151837,5000,1,16,1,0,0,0
119,1.14268e-66,0.151837,5000,1,16,1,0,0,0
120,1.14268e-66,0.151837,5000,1,16,1,0,0,0
121,1.14268e-66,0.151837,5000,1,16,1,0,0,0
122,1.14268e-66,0.151837,5000,1,16,1,0,0,0
123,1.14268e-66,0.151837,5000,1,16,1,0,0,0
124,1.14268e-66,0.151837,5000,1,16,1,0,0,0
125,1.14268e-66,0.151837,5000,1,16,1,0,0,0
126,1.14268e-66,0.151837,5000,1,16,1,0,0,0
127,1.14268e-66,0.151837,5000,1,16,1,0,0,0
128,1.14268e-66,0.151837,5000,1,16,1,0,0,0
129,1.14268e-66,0.151837,5000,1,16,1,0,0,0
130,1.14268e-66,0.151837,5000,1,16,1,0,0,0
131,1.14268e-66,0.151837,5000,1,16,1,0,0,0
132,1.14268e-66,0.151837,5000,1,16,1,0,0,0
133,1.14268e-66,0.151837,5000,1,16,1,0,0,0
134,1.14268e-66,0.151837,5000,1,16,1,0,0,0
135,1.14268e-66,0.151837,5000,1,16,1,0,0,0
136,1.14268e-66,0.151837,5000,1,16,1,0,0,0
137,1.14268e-66,0.151837,5000,1,16,1,0,0,0
138,1.14268e-66,0.151837,5000,1,16,1,0,0,0
139,1.14268e-66,0.151837,5000,1,16,1,0,0,0
140,1.14268e-66,0.151837,5000,1,16,1,0,0,0
141,1.14268e-66,0.151837,5000,1,16,1,0,0,0
142,1.14268e-66,0.151837,5000,1,16,1,0,0,0
143,1.14268e-66,0.151837,5000,1,16,1,0,0,0
144,1.14268e-66,0.151837,5000,1,16,1,0,0,0
145,1.14268e-66,0.151837,5000,1,16,1,0,0,0
146,1.14268e-66,0.151837,5000,1,16,1,0,0,0
147,1.14268e-66,0.151837,5000,1,16,1,0,0,0
148,1.14268e-66,0.151837,5000,1,16,1,0,0,0
149,1.14268e-66,0.151837,5000,1,16,1,0,0,0
150,1.14268e-66,0.151837,5000,1,16,1,0,0,0
151,1.14268e-66,0.151837,5000,1,16,1,0,0,0
152,1.14268e-66,0.151837,5000,1,16,1,0,0,0
153,1.14268e-66,0.151837,5000,1,16,1,0,0,0
154,1.14268e-66,0.151837,5000,1,16,1,0,0,0
155,1.14268e-66,0.151837,5000,1,16,1,0,0,0
156,1.14268e-66,0.151837,5000,1,16,1,0,0,0
157,1.14268e-66,0.151837,5000,1,16,1,0,0,0
158,1.14268e-66,0.151837,5000,1,16,1,0,0,0
159,1.14268e-66,0.151837,5000,1,16,1,0,0,0
160,1.14268e-66,0.151837,5000,1,16,1,0,0,0
161,1.14268e-66,0.151837,5000,1,16,1,0,0,0
162,1.14268e-66,0.151837,5000,1,16,1,0,0,0
163,1.14268e-66,0.151837,5000,1,16,1,0,0,0
164,1.14268e-66,0.151837,5000,1,16,1,0,0,0
165,1.14268e-66,0.151837,5000,1,16,1,0,0,0
166,1.14268e-66,0.151837,5000,1,16,1,0,0,0
167,1.14268e-66,0.151837,5000,1,16,1,0,0,0
168,1.14268e-66,0.151837,5000,1,16,1,0,0,0
169,1.14268e-66,0.151837,5000,1,16,1,0,0,0
170,1.14268e-66,0.151837,5000,1,16,1,0,0,0
171,1.14268e-66,0.151837,5000,1,16,1,0,0,0
172,1.14268e-66,0.151837,5000,1,16,1,0,0,0
173,1.14268e-66,0.151837,5000,1,16,1,0,0,0
174,1.14268e-66,0.151837,5000,1,16,1,0,0,0
175,1.14268e-66,0.151837,5000,1,16,1,0,0,0
176,1.14268e-66,0.151837,5000,1,16,1,0,0,0
177,1.14268e-66,0.151837,5000,1,16,1,0,0,0
178,1.14268e-66,0.151837,5000,1,16,1,0,0,0
179,1.14268e-66,0.151837,5000,1,16,1,0,0,0
180,1.14268e-66,0.151837,5000,1,16,1,0,0,0
181,1.14268e-66,0.151837,5000,1,16,1,0,0,0
182,1.14268e-66,0.151837,5000,1,16,1,0,0,0
183,1.14268e-66,0.151837,5000,1,16,1,0,0,0
184,1.14268e-66,0.151837,5000,1,16,1,0,0,0
185,1.14268e-66,0.151837,5000,1,16,1,0,0,0
186,1.14268e-66,0.151837,5000,1,16,1,0,0,0
187,1.14268e-66,0.151837,5000,1,16,1,0,0,0
188,1.14268e-66,0.151837,5000,1,16,1,0,0,0
189,1.14268e-66,0.151837,5000,1,16,1,0,0,0
190,1.14268e-66,0.151837,5000,1,16,1,0,0,0
191,1.14268e-66,0.151837,5000,1,16,1,0,0,0
192,1.14268e-66,0.151837,5000,1,16,1,0,0,0
193,1.14268e-66,0.151837,5000,1,16,1,0,0,0
194,1.14268e-66,0.151837,5000,1,16,1,0,0,0
195,1.14268e-66,0.151837,5000,1,16,1,0,0,0
196,1.14268e-66,0.151837,5000,1,16,1,0,0,0
197,1.14268e-66,0.151837,5000,1,16,1,0,0,0
198,1.14268e-66,0.151837,5000,1,16,1,0,0,0
199,1.14268e-66,0.151837,5000,1,16,1,0,0,0
200,1.14268e-66,0.151837,5000,1,16,1,0,0,0
201,1.14268e-66,0.151837,5000,1,16,1,0,0,0
202,1.14268e-66,0.151837,5000,1,16,1,0,0,0
203,1.14268e-66,0.151837,5000,1,16,1,0,0,0
204,1.14268e-66,0.151837,5000,1,16,1,0,0,0
205,1.14268e-66,0.151837,5000,1,16,1,0,0,0
206,1.14268e-66,0.151837,5000,1,16,1,0,0,0
207,1.14268e-66,0.151837,5000,1,16,1,0,0,0
208,1.14268e-66,0.151837,5000,1,16,1,0,0,0
209,1.14268e-66,0.151837,5000,1,16,1,0,0,0
210,1.14268e-66,0.151837,5000,1,16,1,0,0,0
211,1.14268e-66,0.151837,5000,1,16,1,0,0,0
212,1.14268e-66,0.151837,5000,1,16,1,0,0,0
213,1.14268e-66,0.151837,5000,1,16,1,0,0,0
214,1.14268e-66,0.151837,5000,1,16,1,0,0,0
215,1.14268e-66,0.151837,5000,1,16,1,0,0,0
216,1.14268e-66,0.151837,5000,1,16,1,0,0,0
217,1.14268e-66,0.151837,5000,1,16,1,0,0,0
218,1.14268e-66,0.151837,5000,1,16,1,0,0,0
219,1.14268e-66,0.151837,5000,1,16,1,0,0,0
220,1.14268e-66,0.151837,5000,1,16,1,0,0,0
221,1.14268e-66,0.151837,5000,1,16,1,0,0,0
222,1.14268e-66,0.151837,5000,1,16,1,0,0,0
223,1.14268e-66,0.151837,5000,1,16,1,0,0,0
224,1.14268e-66,0.151837,5000,1,16,1,0,0,0
225,1.14268e-66,0.151837,5000,1,16,1,0,0,0
226,1.14268e-66,0.151837,5000,1,16,1,0,0,0
227,1.14268e-66,0.151837,5000,1,16,1,0,0,0
228,1.14268e-66,0.151837,5000,1,16,1,0,0,0
229,1.14268e-66,0.151837,5000,1,16,1,0,0,0
230,1.14268e-66,0.151837,5000,1,16,1,0,0,0
231,1.14268e-66,0.151837,5000,1,16,1,0,0,0
232,1.14268e-66,0.151837,5000,1,16,1,0,0,0
233,1.14268e-66,0.151837,5000,1,16,1,0,0,0
234,1.14268e-66,0.151837,5000,1,16,1,0,0,0
235,1.14268e-66,0.151837,5000,1,16,1,0,0,0
236,1.14268e-66,0.151837,5000,1,16,1,0,0,0
237,1.14268e-66,0.151837,5000,1,16,1,0,0,0
238,1.14268e-66,0.151837,5000,1,16,1,0,0,0
239,1.14268e-66,0.151837,5000,1,16,1,0,0,0
240,1.14268e-66,0.151837,5000,1,16,1,0,0,0
241,1.14268e-66,0.151837,5000,1,16,1,0,0,0
242,1.14268e-66,0.151837,5000,1,16,1,0,0,0
243,1.14268e-66,0.151837,5000,1,16,1,0,0,0
244,1.14268e-66,0.151837,5000,1,16,1,0,0,0
245,1.14268e-66,0.151837,5000,1,16,1,0,0,0
246,1.14268e-66,0.151837,5000,1,16,1,0,0,0
247,1.14268e-66,0.151837,5000,1,16,1,0,0,0
248,1.14268e-66,0.151837,5000,1,16,1,0,0,0
249,1.14268e-66,0.151837,5000,1,16,1,0,0,0
250,1.14268e-66,0.151837,5000,1,16,1,0,0,0
251,1.14268e-66,0.151837,5000,1,16,1,0,0,0
252,1.14268e-66,0.151837,5000,1,16,1,0,0,0
253,1.14268e-66,0.151837,5000,1,16,1,0,0,0
254,1.14268e-66,0.151837,5000,1,16,1,0,0,0
255,1.14268e-66,0.151837,5000,1,16,1,0,0,0
256,1.14268e-66,0.151837,5000,1,16,1,0,0,0
257,1.14268e-66,0.151837,5000,1,16,1,0,0,0
258,1.14268e-66,0.151837,5000,1,16,1,0,0,0
259,1.14268e-66,0.151837,5000,1,16,1,0,0,0
260,1.14268e-66,0.151837,5000,1,16,1,0,0,0
261,1.14268e-66,0.151837,5000,1,16,1,0,0,0
262,1.14268e-66,0.151837,5000,1,16,1,0,0,0
263,1.14268e-66,0.151837,5000,1,16,1,0,0,0
264,1.14268e-66,0.151837,5000,1,16,1,0,0,0
265,1.14268e-66,0.151837,5000,1,16,1,0,0,0
266,1.14268e-66,0.151837,5000,1,16,1,0,0,0
267,1.14268e-66,0.151837,5000,1,16,1,0,0,0
268,1.14268e-66,0.151837,5000,1,16,1,0,0,0
269,1.14268e-66,0.151837,5000,1,16,1,0,0,0
270,1.14268e-66,0.151837,5000,1,16,1,0,0,0
271,1.14268e-66,0.151837,5000,1,16,1,0,0,0
272,1.14268e-66,0.151837,5000,1,16,1,0,0,0
273,1.14268e-66,0.151837,5000,1,16,1,0,0,0
274,1.14268e-66,0.151837,5000,1,16,1,0,0,0
275,1.14268e-66,0.151837,5000,1,16,1,0,0,0
276,1.14268e-66,0.151837,5000,1,16,1,0,0,0
277,1.14268e-66,0.151837,5000,1,16,1,0,0,0
278,1.14268e-66,0.151837,5000,1,16,1,0,0,0
279,1.14268e-66,0.151837,5000,1,16,1,0,0,0
280,1.14268e-66,0.151837,5000,1,16,1,0,0,0
281,1.14268e-66,0.151837,5000,1,16,1,0,0,0
282,1.14268e-66,0.151837,5000,1,16,1,0,0,0
283,1.14268e-66,0.151837,5000,1,16,1,0,0,0
284,1.14268e-66,0.151837,5000,1,16,1,0,0,0
285,1.14268e-66,0.151837,5000,1,16,1,0,0,0
286,1.14268e-66,0.151837,5000,1,16,1,0,0,0
287,1.14268e-66,0.151837,5000,1,16,1,0,0,0
288,1.14268e-66,0.151837,5000,1,16,1,0,0,0
289,1.14268e-66,0.151837,5000,1,16,1,0,0,0
290,1.14268e-66,0.151837,5000,1,16,1,0,0,0
291,1.14268e-66,0.151837,5000,1,16,1,0,0,0
292,1.14268e-66,0.151837,5000,1,16,1,0,0,0
293,1.14268e-66,0.151837,5000,1,16,1,0,0,0
294,1.14268e-66,0.151837,5000,1,16,1,0,0,0
295,1.14268e-66,0.151837,5000,1,16,1,0,0,0
296,1.14268e-66,0.151837,5000,1,16,1,0,0,0
297,1.14268e-66,0.151837,5000,1,16,1,0,0,0
298,1.14268e-66,0.151837,5000,1,16,1,0,0,0
299,1.14268e-66,0.151837,5000,1,16,1,0,0,0
300,1.14268e-66,0.151837,5000,1,16,1,0,0,0
301,1.14268e-66,0.151837,5000,1,16,1,0,0,0
302,1.14268e-66,0.151837,5000,1,16,1,0,0,0
303,1.14268e-66,0.151837,5000,1,16,1,0,0,0
304,1.14268e-66,0.151837,5000,1,16,1,0,0,0
305,1.14268e-66,0.151837,5000,1,16,1,0,0,0
306,1.14268e-66,0.151837,5000,1,16,1,0,0,0
307,1.14268e-66,0.151837,5000,1,16,1,0,0,0
308,1.14268e-66,0.151837,5000,1,16,1,0,0,0
309,1.14268e-66,0.151837,5000,1,16,1,0,0,0
310,1.14268e-66,0.151837,5000,1,16,1,0,0,0
311,1.14268e-66,0.151837,5000,1,16,1,0,0,0
312,1.14268e-66,0.151837,5000,1,16,1,0,0,0
313,1.14268e-66,0.151837,5000,1,16,1,0,0,0
314,1.14268e-66,0.151837,5000,1,16,1,0,0,0
315,1.14268e-66,0.151837,5000,1,16,1,0,0,0
316,1.14268e-66,0.151837,5000,1,16,1,0,0,0
317,1.14268e-66,0.151837,5000,1,16,1,0,0,0
318,1.14268e-66,0.151837,5000,1,16,1,0,0,0
319,1.14268e-66,0.151837,5000,1,16,1,0,0,0
320,1.14268e-66,0.151837,5000,1,16,1,0,0,0
321,1.14268e-66,0.151837,5000,1,16,1,0,0,0
322,1.14268e-66,0.151837,5000,1,16,1,0,0,0
323,1.14268e-66,0.151837,5000,1,16,1,0,0,0
324,1.14268e-66,0.151837,5000,1,16,1,0,0,0
325,1.14268e-66,0.151837,5000,1,16,1,0,0,0
326,1.14268e-66,0.151837,5000,1,16,1,0,0,0
327,1.14268e-66,0.151837,5000,1,16,1,0,0,0
328,1.14268e-66,0.151837,5000,1,16,1,0,0,0
329,1.14268e-66,0.151837,5000,1,16,1,0,0,0
330,1.14268e-66,0.151837,5000,1,16,1,0,0,0
331,1.14268e-66,0.151837,5000,1,16,1,0,0,0
332,1.14268e-66,0.151837,5000,1,16,1,0,0,0
